side_a_id,side_b_id,incompatibility,year,intensity_level,cumulative_intensity,type_of_conflict,ep_end
87,441,2,1984,1,1,4,1
87,441,2,1986,1,1,4,0
87,455,2,1987,2,1,4,1
89,423,2,1999,2,1,4,0
93,432,2,1999,1,1,3,0
17,743,2,1999,2,1,3,0
112,466,2,1999,2,1,3,0
97,497,1,1999,1,1,3,0
144,180,1,2000,1,1,3,0
141,193,2,2000,1,1,3,0
87,451,2,1998,1,1,3,0
87,452,2,1999,1,1,3,0
87,452,2,2000,2,1,3,0
87,452,2,2001,1,1,3,0
87,452,2,2002,1,1,3,0
87,452,2,2003,1,1,3,1
87,453,2,2005,1,1,3,0
121,207,1,2000,1,1,3,0
87,456,2,2007,1,1,3,0
87,716,2,2008,1,1,3,0
87,1069,2,2009,1,1,3,0
87,1112,2,2010,1,1,3,1
87,7151,2,2018,1,1,3,1
87,7151,2,2020,1,1,3,0
87,7255,2,2021,1,1,3,1
17,743,2,1964,1,0,3,0
17,743,2,1965,1,0,3,0
89,423,2,2000,2,1,4,0
17,743,2,1967,1,0,3,0
17,743,2,1968,1,0,3,0
17,744,2,1969,1,0,3,0
17,744,2,1970,1,0,3,0
17,743,2,1971,1,0,3,0
17,743,2,1972,1,0,3,0
17,744,2,1973,1,0,3,0
17,743,2,1974,1,0,3,0
17,743,2,1975,1,0,3,0
17,743,2,1976,1,0,3,0
17,743,2,1977,1,0,3,0
93,432,2,2000,2,1,3,0
17,7074,2,2000,2,1,3,0
17,743,2,1980,1,1,3,0
154,276,1,2000,2,1,3,0
112,466,2,2000,2,1,3,0
90,488,2,2000,1,1,3,0
141,193,2,2001,1,1,3,0
121,205,1,2001,1,1,3,0
93,432,2,2001,2,1,3,0
17,743,2,2001,2,1,3,0
154,276,1,2001,1,1,3,0
112,466,2,2001,2,1,3,0
90,488,2,2001,1,1,3,0
141,193,2,2002,1,1,3,0
121,207,1,2002,1,1,3,0
93,432,2,2002,2,1,3,0
17,7074,2,2002,2,1,3,0
154,276,1,2002,1,1,3,0
90,488,2,2002,2,1,3,0
141,193,2,2003,1,1,3,0
121,208,1,2003,1,1,3,0
93,432,2,2003,1,1,3,0
17,743,2,2003,2,1,3,0
154,276,1,2003,1,1,3,0
112,466,2,2003,2,1,4,0
141,193,2,2004,1,1,3,0
121,208,1,2004,1,1,3,0
116,233,2,2004,2,1,4,0
17,7074,2,2004,2,1,3,0
17,743,2,2007,1,1,3,0
154,276,1,2004,1,1,3,0
17,743,2,2009,1,1,3,0
112,466,2,2004,2,1,3,0
17,743,2,2011,1,1,3,0
17,743,2,2012,1,1,3,0
121,207,1,2005,1,1,3,0
17,743,2,2014,1,1,3,0
116,233,2,2005,2,1,4,0
17,744,2,2016,1,1,3,1
17,743,2,2005,2,1,3,0
154,276,1,2005,1,1,3,0
17,8468,2,2020,1,1,3,0
121,207,1,2006,1,1,3,0
17,8468,2,2022,1,1,3,0
7,747,2,1965,1,0,3,1
155,266,1,1965,1,0,3,1
155,266,1,1967,1,0,3,0
155,266,1,1968,1,0,3,0
155,266,1,1969,1,0,3,1
155,266,1,1976,2,1,3,0
155,266,1,1977,2,1,3,0
155,266,1,1978,2,1,3,1
155,266,1,1981,2,1,3,1
155,266,1,1984,1,1,3,1
155,266,1,2018,1,1,3,1
155,266,1,2021,1,1,3,0
155,266,1,2022,1,1,3,0
116,233,2,2006,2,1,4,0
21,750,2,1982,1,0,3,0
21,750,2,1983,2,1,3,0
21,750,2,1984,2,1,3,0
21,750,2,1985,2,1,3,0
21,750,2,1986,1,1,3,0
21,750,2,1987,1,1,3,0
21,750,2,1988,2,1,3,0
87,453,2,2006,2,1,3,0
17,743,2,2006,1,1,3,0
112,469,2,2006,2,1,3,0
142,287,1,2006,1,1,3,0
121,207,1,2007,1,1,3,0
21,750,2,1994,1,1,3,0
21,750,2,1995,1,1,3,0
21,750,2,1996,1,1,3,0
21,750,2,1997,1,1,3,0
21,750,2,1998,1,1,3,0
21,750,2,1999,1,1,3,1
21,750,2,2007,1,1,3,0
21,750,2,2008,1,1,3,0
21,750,2,2009,1,1,3,0
21,750,2,2010,1,1,3,1
151,150,1,1965,2,1,2,0
151,150,1,1966,2,1,2,0
151,150,1,1967,2,1,2,0
151,150,1,1968,2,1,2,0
151,150,1,1969,2,1,2,0
151,150,1,1970,2,1,2,0
151,150,1,1971,2,1,2,0
151,150,1,1972,2,1,2,0
151,150,1,1973,2,1,2,0
151,150,1,1974,2,1,2,0
151,150,1,1975,2,1,2,1
148,147,1,1977,1,0,2,0
148,147,1,1978,1,0,2,1
148,147,1,2011,1,0,2,1
81,457,2,1966,1,0,3,1
81,458,2,1981,1,0,3,1
81,459,2,1983,1,0,3,1
141,267,1,1966,1,0,3,0
141,267,1,1967,1,0,3,0
141,267,1,1968,1,0,3,1
84,460,2,1966,1,0,3,1
84,1051,2,2009,1,0,3,1
84,1051,2,2011,1,0,3,0
84,1051,2,2012,1,1,4,0
84,1051,2,2013,2,1,4,0
84,1051,2,2014,2,1,4,0
84,1051,2,2015,2,1,4,0
84,1051,2,2016,1,1,4,0
84,1051,2,2017,2,1,4,0
84,1051,2,2018,1,1,4,0
84,1051,2,2019,1,1,4,0
84,1051,2,2020,1,1,4,0
84,1051,2,2021,1,1,4,0
84,1051,2,2022,1,1,4,0
102,461,1,1966,1,0,3,0
102,461,1,1967,1,0,3,0
102,461,1,1968,1,0,3,0
102,461,1,1969,1,0,3,0
102,461,1,1970,1,0,3,0
102,461,1,1971,1,0,3,0
102,461,1,1972,1,0,3,0
102,461,1,1973,1,0,3,0
102,461,1,1974,1,0,3,0
102,461,1,1975,1,0,3,0
102,461,1,1976,1,0,3,0
102,461,1,1977,1,0,3,0
102,461,1,1978,2,1,3,0
102,461,1,1979,1,1,3,0
102,461,1,1980,2,1,3,0
102,461,1,1981,2,1,3,0
102,461,1,1982,2,1,3,0
102,461,1,1983,2,1,3,0
102,461,1,1984,1,1,3,0
102,461,1,1985,1,1,3,0
102,461,1,1986,2,1,3,0
102,461,1,1987,2,1,3,0
102,461,1,1988,2,1,3,0
102,461,1,1989,1,1,3,1
118,268,2,1966,1,0,3,1
118,269,2,1979,1,0,3,0
118,269,2,1980,1,0,3,0
118,269,2,1981,1,0,3,0
118,269,2,1982,2,1,3,1
118,4456,2,2011,2,1,3,0
118,4456,2,2012,2,1,3,0
118,4456,2,2013,2,1,3,0
118,4456,2,2014,2,1,3,0
118,4456,2,2015,2,1,4,0
118,4456,2,2016,2,1,4,0
118,4456,2,2017,2,1,4,0
118,4456,2,2018,2,1,4,0
118,4456,2,2019,2,1,4,0
118,4456,2,2020,2,1,4,0
118,4456,2,2021,1,1,4,0
118,4456,2,2022,1,1,4,0
